userId,age,gender,playsPercussion,instrumentHoursPerWeek,musicProduced,readMusic
1,33,0,1,6,1,1
2,30,0,0,5,1,1
4,33,0,0,0,5,0
8,35,0,0,1,1,1
10,34,0,0,0,0,1
13,32,0,0,4,0,1
15,26,0,1,1,3,1
16,40,0,0,10,2,1
17,29,0,1,15,0,1
18,31,0,1,3,1,1
19,23,0,0,2,0,1
20,22,0,1,1,5,1
21,23,0,1,7,15,1
23,27,0,1,1,1,0
25,29,0,1,10,20,0
26,21,0,1,10,14,1
27,23,0,1,10,14,1
41,22,0,0,1,8,1
42,28,0,1,20,15,1
43,27,0,0,2,0,1
44,27,0,1,4,1,0
45,33,0,1,1,0,1
50,30,0,1,4,0,1
56,24,0,0,2,5,1
58,42,0,0,2,2,1
63,38,1,0,0,0,1
65,22,0,1,10,2,1
66,28,0,1,1,0,1
67,30,0,1,2,2,1
68,38,1,0,5,0,1
70,35,0,0,1,1,1
73,39,0,1,0,0,1
75,60,0,0,0,0,1
79,20,0,0,2,4,1
81,49,0,0,2,4,1
84,44,0,0,1,1,1
86,29,0,0,2,2,1
94,27,0,1,4,2,1
98,30,0,0,0,0,1
101,33,0,1,2,10,1
102,70,0,0,4,0,1
103,70,0,0,14,0,1
107,32,0,0,5,1,1
